Wavelength,x,y,z
426,0.16595,0.02226,0.81179
427,0.16590,0.02229,0.81181
427,0.16585,0.02232,0.81184
427,0.16579,0.02235,0.81186
427,0.16574,0.02238,0.81188
427,0.16569,0.02240,0.81190
427,0.16564,0.02243,0.81193
427,0.16559,0.02246,0.81195
427,0.16554,0.02249,0.81197
427,0.16549,0.02252,0.81199
428,0.16544,0.02255,0.81201
428,0.16539,0.02258,0.81203
428,0.16533,0.02262,0.81205
428,0.16528,0.02265,0.81207
428,0.16523,0.02268,0.81209
428,0.16518,0.02271,0.81211
428,0.16513,0.02275,0.81213
428,0.16508,0.02278,0.81214
428,0.16502,0.02281,0.81216
428,0.16497,0.02285,0.81218
428,0.16492,0.02288,0.81220
429,0.16486,0.02292,0.81221
429,0.16481,0.02296,0.81223
429,0.16476,0.02299,0.81225
429,0.16470,0.02303,0.81226
429,0.16465,0.02307,0.81228
429,0.16459,0.02311,0.81230
429,0.16454,0.02315,0.81231
429,0.16448,0.02319,0.81233
429,0.16443,0.02323,0.81234
430,0.16437,0.02327,0.81236
430,0.16431,0.02331,0.81237
430,0.16426,0.02336,0.81239
430,0.16420,0.02340,0.81240
430,0.16414,0.02344,0.81241
430,0.16408,0.02349,0.81243
430,0.16402,0.02354,0.81244
430,0.16396,0.02358,0.81246
430,0.16390,0.02363,0.81247
430,0.16384,0.02368,0.81248
430,0.16378,0.02373,0.81249
431,0.16372,0.02378,0.81251
431,0.16365,0.02383,0.81252
431,0.16359,0.02388,0.81253
431,0.16353,0.02393,0.81254
431,0.16346,0.02398,0.81255
431,0.16340,0.02403,0.81257
431,0.16334,0.02409,0.81258
431,0.16327,0.02414,0.81259
431,0.16320,0.02420,0.81260
432,0.16314,0.02425,0.81261
432,0.16307,0.02431,0.81262
432,0.16301,0.02436,0.81263
432,0.16294,0.02442,0.81264
432,0.16287,0.02447,0.81265
432,0.16280,0.02453,0.81267
432,0.16274,0.02459,0.81268
432,0.16267,0.02465,0.81269
432,0.16260,0.02470,0.81270
432,0.16253,0.02476,0.81271
432,0.16246,0.02482,0.81272
433,0.16239,0.02488,0.81273
433,0.16232,0.02494,0.81274
433,0.16225,0.02500,0.81275
433,0.16219,0.02506,0.81275
433,0.16212,0.02512,0.81276
433,0.16205,0.02518,0.81277
433,0.16198,0.02524,0.81278
433,0.16191,0.02530,0.81279
433,0.16184,0.02536,0.81280
434,0.16177,0.02542,0.81281
434,0.16170,0.02548,0.81282
434,0.16163,0.02554,0.81283
434,0.16156,0.02560,0.81284
434,0.16149,0.02566,0.81285
434,0.16142,0.02572,0.81285
434,0.16135,0.02579,0.81286
434,0.16128,0.02585,0.81287
434,0.16121,0.02591,0.81288
434,0.16114,0.02597,0.81289
434,0.16108,0.02603,0.81290
435,0.16101,0.02609,0.81291
435,0.16094,0.02614,0.81291
435,0.16087,0.02620,0.81292
435,0.16081,0.02626,0.81293
435,0.16074,0.02632,0.81294
435,0.16068,0.02638,0.81295
435,0.16061,0.02644,0.81295
435,0.16054,0.02649,0.81296
435,0.16048,0.02655,0.81297
