Wavelength,V
525,7.94645E-01
525,7.96016E-01
525,7.97384E-01
525,7.98749E-01
525,8.00110E-01
526,8.01469E-01
526,8.02824E-01
526,8.04175E-01
526,8.05523E-01
526,8.06867E-01
526,8.08207E-01
526,8.09544E-01
526,8.10876E-01
526,8.12205E-01
526,8.13529E-01
526,8.14849E-01
527,8.16165E-01
527,8.17476E-01
527,8.18783E-01
527,8.20085E-01
527,8.21382E-01
527,8.22674E-01
527,8.23961E-01
527,8.25244E-01
527,8.26521E-01
528,8.27793E-01
528,8.29060E-01
528,8.30321E-01
528,8.31576E-01
528,8.32826E-01
528,8.34070E-01
528,8.35308E-01
528,8.36541E-01
528,8.37767E-01
528,8.38987E-01
528,8.40200E-01
529,8.41408E-01
529,8.42609E-01
529,8.43803E-01
529,8.44990E-01
529,8.46171E-01
529,8.47345E-01
529,8.48512E-01
529,8.49671E-01
529,8.50824E-01
530,8.51969E-01
