663, -1.1188, -2.2505, -4.9227
664, -1.1463, -2.2823, -4.9502
665, -1.1741, -2.3143, -4.9781
666, -1.2023, -2.3467, -5.0064
667, -1.2309, -2.3794, -5.0351
668, -1.2597, -2.4122, -5.0639
669, -1.2885, -2.4451, -5.0928
670, -1.3173, -2.4776, -5.1217
671, -1.3457, -2.5096, -5.1501
672, -1.3738, -2.5412, -5.1783
673, -1.4015, -2.5723, -5.2061
674, -1.4290, -2.6030, -5.2336
675, -1.4562, -2.6334, -5.2609
676, -1.4831, -2.6637, -5.2878
677, -1.5097, -2.6936, -5.3145
678, -1.5362, -2.7236, -5.3410
679, -1.5630, -2.7538, -5.3679
680, -1.5906, -2.7848, -5.3956
681, -1.6194, -2.8169, -5.4244
682, -1.6495, -2.8503, -5.4545
683, -1.6805, -2.8846, -5.4855
684, -1.7122, -2.9194, -5.5174
685, -1.7442, -2.9542, -5.5494
686, -1.7763, -2.9888, -5.5815
687, -1.8086, -3.0232, -5.6139
688, -1.8410, -3.0573, -5.6463
689, -1.8734, -3.0911, -5.6788
690, -1.9058, -3.1248, -5.7111
691, -1.9379, -3.1582, -5.7433
692, -1.9697, -3.1911, -5.7751
693, -2.0011, -3.2235, -5.8064
694, -2.0319, -3.2554, -5.8373
695, -2.0623, -3.2867, -5.8678
696, -2.0922, -3.3173, -5.8976
697, -2.1213, -3.3472, -5.9267
698, -2.1500, -3.3765, -5.9554
699, -2.1784, -3.4053, -5.9838
700, -2.2069, -3.4338, -6.0123
