628,0.2564629002
629,0.2466135289
630,0.2370763846
631,0.2278899046
632,0.2190315705
633,0.2104612057
634,0.2021386337
635,0.1940236779
636,0.1861028271
637,0.1783862927
638,0.1708681441
639,0.1635420048
640,0.1564026130
641,0.1494417194
642,0.1426606617
643,0.1360671542
644,0.1296690449
645,0.1234738696
646,0.1174817622
647,0.1116909391
648,0.1061064835
649,0.1007331669
650,0.0955758941
651,0.0906382770
652,0.0859122358
653,0.0813849639
654,0.0770434763
655,0.0728750111
656,0.0688726389
657,0.0650351333
658,0.0613584277
659,0.0578383885
660,0.0544709043
661,0.0512518817
662,0.0481782440
663,0.0452475564
664,0.0424573932
665,0.0398052707
666,0.0372857353
667,0.0348980291
668,0.0326466958
669,0.0305362570
670,0.0285713012
671,0.0267519709
672,0.0250678364
673,0.0235075671
674,0.0220597967
675,0.0207131455
676,0.0194636761
677,0.0183031481
678,0.0172137073
679,0.0161775751
680,0.0151769152
681,0.0141981985
682,0.0132459467
683,0.0123295550
684,0.0114583341
685,0.0106416882
686,0.0098813743
687,0.0091717560
688,0.0085110675
689,0.0078976478
690,0.0073297356
691,0.0068064011
692,0.0063257893
693,0.0058848256
694,0.0054804134
695,0.0051094734
696,0.0047702667
697,0.0044602292
698,0.0041750602
699,0.0039104990
700,0.0036622224
701,0.0034269241
702,0.0032043075
703,0.0029946089
704,0.0027980826
705,0.0026149848
706,0.0024445889
707,0.0022854410
708,0.0021366695
709,0.0019974316
710,0.0018668376
711,0.0017441630
712,0.0016289887
713,0.0015209645
714,0.0014197360
715,0.0013249353
716,0.0012361054
717,0.0011528761
718,0.0010750468
719,0.0010024213
720,0.0009348034
721,0.0008719455
722,0.0008134866
723,0.0007590455
724,0.0007082558
725,0.0006607246
726,0.0006161576
727,0.0005744025
728,0.0005352903
729,0.0004986422
730,0.0004643151
731,0.0004320951
732,0.0004018661
733,0.0003735653
734,0.0003471125
735,0.0003224538
736,0.0002994914
737,0.0002781180
738,0.0002582353
739,0.0002397365
740,0.0002225495
741,0.0002065680
742,0.0001917379
743,0.0001779878
744,0.0001652733
745,0.0001535321
746,0.0001427098
747,0.0001327270
748,0.0001235296
749,0.0001150375
750,0.0001071881
751,0.0000999188
752,0.0000931854
753,0.0000869484
754,0.0000811525
755,0.0000757529
756,0.0000707043
757,0.0000659808
758,0.0000615672
759,0.0000574472
760,0.0000536041
761,0.0000500154
762,0.0000466608
763,0.0000435276
764,0.0000406060
765,0.0000378845
766,0.0000353487
767,0.0000329853
768,0.0000307826
769,0.0000287272
770,0.0000268085
771,0.0000250139
772,0.0000233372
773,0.0000217703
774,0.0000203097
775,0.0000189474
776,0.0000176779
777,0.0000164933
778,0.0000153891
779,0.0000143599
780,0.0000133994
781,0.0000124739
782,0.0000116401
783,0.0000108606
784,0.0000101338
785,0.0000094533
786,0.0000088165
787,0.0000082202
788,0.0000076629
789,0.0000071427
790,0.0000066581
791,0.0000062067
792,0.0000057861
793,0.0000053944
794,0.0000050293
795,0.0000046890
796,0.0000043715
797,0.0000040754
798,0.0000037993
799,0.0000035420
800,0.0000033023
801,0.0000030787
802,0.0000028702
803,0.0000026757
804,0.0000024945
805,0.0000023257
806,0.0000021682
807,0.0000020213
808,0.0000018844
809,0.0000017568
810,0.0000016379
811,0.0000015270
812,0.0000014235
813,0.0000013271
814,0.0000012372
815,0.0000011535
816,0.0000010754
817,0.0000010025
818,0.0000009346
819,0.0000008714
820,0.0000008124
821,0.0000007574
822,0.0000007061
823,0.0000006582
824,0.0000006137
825,0.0000005721
826,0.0000005334
827,0.0000004973
828,0.0000004636
829,0.0000004322
830,0.0000004029
